time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/12/19:06:24.695704,1,0,0,,0.4006759276387577,0.4424824296709117,0.796456380429696,-0.4128260016441345,800.0,800.0,0.0
2023/09/12/19:06:24.703130,2,0,0,,0.4006780059854221,0.44248158143711297,0.8104470766101025,-0.4131690263748169,800.0,800.0,0.0
2023/09/12/19:06:24.717541,3,0,0,,0.4006778238160037,0.4424820842369849,0.7929029342074289,-0.41332826018333435,800.0,800.0,0.0
2023/09/12/19:06:24.723836,4,0,0,,0.4006747082968722,0.4424832345161077,0.8056958591360703,-0.4141658544540405,800.0,800.0,0.0
2023/09/12/19:06:24.732736,5,0,0,,0.4006757714871731,0.442479413602633,0.7848424479883022,-0.4141658544540405,800.0,800.0,0.0
2023/09/12/19:06:24.743256,6,0,0,,0.400674757233061,0.4424808844536574,0.8010477339715641,-0.4135059714317322,800.0,800.0,0.0
2023/09/12/19:06:24.753244,7,0,0,,0.4006750700092882,0.4424802569833022,0.7921712437731065,-0.41340500116348267,800.0,800.0,0.0
2023/09/12/19:06:24.763896,8,0,0,,0.4006782591573375,0.44248149589409247,0.7699524296208012,-0.41340500116348267,800.0,800.0,0.0
2023/09/12/19:06:24.772907,9,0,0,,0.4006759759224463,0.44248053000258625,0.7897938666531491,-0.4118078947067261,800.0,800.0,0.0
2023/09/12/19:06:24.783085,10,0,0,,0.400675093085983,0.44248177800351524,0.7999631495216425,-0.41218438744544983,800.0,800.0,0.0
2023/09/12/19:06:24.793525,11,0,0,,0.4006765812505664,0.4424803811890253,0.7899649651477985,-0.41238218545913696,800.0,800.0,0.0
2023/09/12/19:06:24.802994,12,0,0,,0.4006765124251084,0.4424805188469895,0.7749031153132939,-0.41201528906822205,800.0,800.0,0.0
2023/09/12/19:06:24.812806,13,0,0,,0.4006769601917192,0.4424823030682811,0.7797072227739908,-0.4120217263698578,800.0,800.0,0.0
2023/09/12/19:06:24.824788,14,0,0,,0.4006754301777843,0.44248167523898696,0.8040988833362972,-0.41188469529151917,800.0,800.0,0.0
2023/09/12/19:06:24.833052,15,0,0,,0.40067632530594155,0.4424801015335751,0.8038861487435478,-0.410928875207901,800.0,800.0,0.0
2023/09/12/19:06:24.842902,16,0,0,,0.40067610091971384,0.44247948844150076,0.8180596462507908,-0.41005024313926697,800.0,800.0,0.0
2023/09/12/19:06:24.853082,17,0,0,,0.40067499032883247,0.4424839159833676,0.8317613092752918,-0.40970703959465027,800.0,800.0,0.0
