time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/18:55:55.484272,113137,0,0,,0.4075834487844607,0.45023911050842597,-1.1662769971547724,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.493262,103,0,0,,0.4075851670367536,0.45023969554389676,-1.1508280406856395,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.493582,113138,0,0,,0.40758585692477656,0.45023991103238303,-1.1524266409523625,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.504060,113139,0,0,,0.4075840350069214,0.45023976860900206,-1.171940952117046,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.504174,104,0,0,,0.4075840350069214,0.45023976860900206,-1.171940952117046,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.513546,105,0,0,,0.407584657903475,0.4502392955769358,-1.1570695071770476,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.514109,113140,0,0,,0.40758550174749014,0.45023714951514127,-1.1535393195519625,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.523438,113141,0,0,,0.4075866206394514,0.45023941905953957,-1.1756603803077423,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.524133,106,0,0,,0.40758853266524986,0.4502384439298828,-1.1557864613740065,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.533740,107,0,0,,0.40758610791637573,0.45023841088271777,-1.14646129345735,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.533846,113142,0,0,,0.40758300229595035,0.4502387794685784,-1.148940535637376,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.543531,108,0,0,,0.4075835691249468,0.45023842856330887,-1.1490693923823974,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.543545,113143,0,0,,0.40758511327545344,0.45023943551243195,-1.152387384857413,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.553082,109,0,0,,0.4075842928228689,0.45023914401792464,-1.137250046706289,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.554510,113144,0,0,,0.4075881744997758,0.45023871766523826,-1.1426860758132362,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.563120,110,0,0,,0.40758418891661663,0.4502393184741071,-1.157350161883,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.563468,113145,0,0,,0.40758418891661663,0.4502393184741071,-1.157350161883,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.573196,111,0,0,,0.40758388582668426,0.4502387040368215,-1.17908107409304,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.574294,113146,0,0,,0.407585111791538,0.45023969671896086,-1.173567433285975,0.0,800.0,800.0,0.0,0.0
