time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/15:43:30.548549,1,0,0,,0.40185375353882585,0.42781467669908035,-0.3349035551935478,-2.2409491539001465,800.0,800.0,0.0
2023/09/13/15:43:30.558536,2,0,0,,0.4018556504335897,0.42781665253562073,-0.33368722021405517,-2.2406997680664062,800.0,800.0,0.0
2023/09/13/15:43:30.569519,3,0,0,,0.401853810611105,0.42781641501600626,-0.30858337145605813,-2.241267442703247,800.0,800.0,0.0
2023/09/13/15:43:30.580758,4,0,0,,0.4018554228258609,0.42781713421819223,-0.35288765038812564,-2.240208625793457,800.0,800.0,0.0
2023/09/13/15:43:30.588528,5,0,0,,0.4018539817226617,0.42781610586774016,-0.3239551093892934,-2.240571975708008,800.0,800.0,0.0
2023/09/13/15:43:30.598599,6,0,0,,0.4018536641058952,0.4278168298286763,-0.34458582920009123,-2.2414000034332275,800.0,800.0,0.0
2023/09/13/15:43:30.612958,7,0,0,,0.40185490545092317,0.4278158630447003,-0.338536042335926,-2.241417646408081,800.0,800.0,0.0
2023/09/13/15:43:30.620302,8,0,0,,0.401853281072731,0.42781635775549887,-0.3508588569485096,-2.2410101890563965,800.0,800.0,0.0
2023/09/13/15:43:30.629052,9,0,0,,0.4018529265237234,0.42781681237230623,-0.35403881059676023,-2.2415854930877686,800.0,800.0,0.0
2023/09/13/15:43:30.638902,10,0,0,,0.40185374158052856,0.4278168352661653,-0.3280212650483117,-2.2414345741271973,800.0,800.0,0.0
2023/09/13/15:43:30.649387,11,0,0,,0.4018539107098683,0.4278158117109515,-0.3556142164052587,-2.241175889968872,800.0,800.0,0.0
2023/09/13/15:43:30.658390,12,0,0,,0.40185356988597126,0.4278160527321658,-0.39733617581966024,-2.2406327724456787,800.0,800.0,0.0
2023/09/13/15:43:30.668310,13,0,0,,0.401850932590839,0.4278173123287061,-0.34155354809759453,-2.239413022994995,800.0,800.0,0.0
2023/09/13/15:43:30.678567,14,0,0,,0.4018513036388225,0.42781657799342754,-0.3466318061458242,-2.238485336303711,800.0,800.0,0.0
2023/09/13/15:43:30.690427,15,0,0,,0.40185261543401274,0.4278174825746236,-0.33580661582098664,-2.238779067993164,800.0,800.0,0.0
