time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/15:29:25.015847,1,0,0,,0.516885388,0.509288298,0.879670225,-2.242751837,800,800,0
2023/09/13/15:29:25.026337,2,0,0,,0.516884614,0.509287938,0.894096274,-2.243098974,800,800,0
2023/09/13/15:29:25.037386,3,0,0,,0.516884829,0.509285794,0.859649453,-2.242779493,800,800,0
2023/09/13/15:29:25.045431,4,0,0,,0.516883259,0.509286042,0.866044898,-2.24387908,800,800,0
2023/09/13/15:29:25.055780,5,0,0,,0.516889071,0.509285336,0.867070934,-2.243000269,800,800,0
2023/09/13/15:29:25.066689,6,0,0,,0.516883728,0.509286607,0.880400505,-2.24346447,800,800,0
2023/09/13/15:29:25.075445,7,0,0,,0.516881206,0.509291008,0.87018271,-2.24299264,800,800,0
2023/09/13/15:29:25.085585,8,0,0,,0.516886654,0.509290827,0.895583127,-2.242389441,800,800,0
2023/09/13/15:29:25.097101,9,0,0,,0.516882388,0.509290944,0.873667824,-2.241683722,800,800,0
2023/09/13/15:29:25.105476,10,0,0,,0.516880981,0.509290019,0.865613845,-2.24239254,800,800,0
2023/09/13/15:29:25.115605,11,0,0,,0.516881751,0.509287391,0.849033421,-2.242218733,800,800,0
2023/09/13/15:29:25.125822,12,0,0,,0.516882565,0.509285647,0.83251709,-2.242915154,800,800,0
2023/09/13/15:29:25.137650,13,0,0,,0.516883997,0.509286556,0.823763978,-2.243085384,800,800,0
2023/09/13/15:29:25.145511,14,0,0,,0.516885487,0.509287825,0.826249227,-2.242807865,800,800,0
2023/09/13/15:29:25.159470,15,0,0,,0.516885002,0.509289316,0.821028223,-2.242442846,800,800,0
2023/09/13/15:29:25.165474,16,0,0,,0.516886103,0.509288383,0.820964774,-2.242841005,800,800,0
2023/09/13/15:29:25.175676,17,0,0,,0.516885514,0.509290218,0.825513475,-2.242470026,800,800,0
2023/09/13/15:29:25.185484,18,0,0,,0.516886401,0.509291589,0.826819621,-2.24337244,800,800,0
2023/09/13/15:29:25.195523,19,0,0,,0.516885339,0.509290394,0.819644304,-2.243673801,800,800,0
2023/09/13/15:29:25.205432,20,0,0,,0.516885755,0.509288978,0.835642537,-2.244689941,800,800,0
2023/09/13/15:29:25.215563,21,0,0,,0.516882505,0.509287351,0.856640267,-2.244638681,800,800,0
2023/09/13/15:29:25.226319,22,0,0,,0.516884172,0.509286787,0.81694965,-2.244524479,800,800,0
2023/09/13/15:29:25.235529,23,0,0,,0.5168832,0.509286268,0.82603386,-2.24394536,800,800,0
2023/09/13/15:29:25.245492,24,0,0,,0.516884674,0.50928627,0.84206473,-2.242837667,800,800,0
2023/09/13/15:29:25.255514,25,0,0,,0.516886075,0.50929017,0.854962723,-2.241892576,800,800,0
2023/09/13/15:29:25.265428,26,0,0,,0.516882957,0.50928931,0.845451031,-2.2415452,800,800,0
2023/09/13/15:29:25.275684,27,0,0,,0.516884605,0.509289491,0.827763337,-2.241004467,800,800,0
2023/09/13/15:29:25.285627,28,0,0,,0.516882391,0.509289706,0.84096975,-2.241004467,800,800,0
2023/09/13/15:29:25.295687,29,0,0,,0.516886852,0.509290343,0.859380533,-2.24221158,800,800,0
2023/09/13/15:29:25.305928,30,0,0,,0.516884671,0.509288032,0.859450519,-2.242611885,800,800,0
2023/09/13/15:29:25.317513,31,0,0,,0.516884243,0.509287956,0.824072704,-2.242285252,800,800,0
2023/09/13/15:29:25.325528,32,0,0,,0.516883245,0.509286869,0.818825254,-2.243443727,800,800,0
2023/09/13/15:29:25.335819,33,0,0,,0.516884899,0.509287097,0.846384814,-2.24405241,800,800,0
2023/09/13/15:29:25.345517,34,0,0,,0.516881787,0.509287297,0.854179208,-2.244607925,800,800,0
2023/09/13/15:29:25.355694,35,0,0,,0.516886149,0.509289504,0.863449507,-2.244434357,800,800,0
2023/09/13/15:29:25.365511,36,0,0,,0.516886036,0.509290732,0.851140819,-2.245175838,800,800,0
2023/09/13/15:29:25.375466,37,0,0,,0.516884328,0.509290142,0.852434188,-2.243991375,800,800,0
2023/09/13/15:29:25.385968,38,0,0,,0.516883519,0.509288594,0.848800183,-2.243991375,800,800,0
2023/09/13/15:29:25.396293,39,0,0,,0.516881668,0.509288102,0.855131282,-2.240821838,800,800,0
2023/09/13/15:29:25.405573,40,0,0,,0.516884719,0.509288229,0.811659448,-2.240655184,800,800,0
2023/09/13/15:29:25.415426,41,0,0,,0.516885392,0.509287568,0.827087038,-2.239802361,800,800,0
2023/09/13/15:29:25.427535,42,0,0,,0.516883954,0.50928914,0.824858521,-2.240515232,800,800,0
2023/09/13/15:29:25.435442,43,0,0,,0.516886974,0.509287589,0.801418885,-2.240356922,800,800,0
2023/09/13/15:29:25.445522,44,0,0,,0.516883293,0.50928731,0.78911769,-2.242551327,800,800,0
2023/09/13/15:29:25.458523,45,0,0,,0.516882494,0.509288783,0.800617024,-2.242660999,800,800,0
2023/09/13/15:29:25.465440,46,0,0,,0.516886012,0.509287354,0.81370764,-2.243287325,800,800,0
2023/09/13/15:29:25.475930,47,0,0,,0.516884703,0.50928918,0.774242957,-2.243093729,800,800,0
2023/09/13/15:29:25.485506,48,0,0,,0.516884499,0.509289356,0.797812267,-2.24309516,800,800,0
2023/09/13/15:29:25.495554,49,0,0,,0.516884285,0.50928776,0.806454523,-2.242320061,800,800,0
2023/09/13/15:29:25.506283,50,0,0,,0.516885133,0.509286145,0.804493425,-2.243103504,800,800,0
2023/09/13/15:29:25.516370,51,0,0,,0.51688379,0.509287029,0.812032175,-2.243275642,800,800,0
2023/09/13/15:29:25.525631,52,0,0,,0.516886407,0.509289373,0.808359465,-2.243487835,800,800,0
2023/09/13/15:29:25.536206,53,0,0,,0.516883126,0.509288817,0.799895781,-2.243592501,800,800,0
2023/09/13/15:29:25.545511,54,0,0,,0.516885389,0.509288284,0.794345971,-2.243844032,800,800,0
2023/09/13/15:29:25.555827,55,0,0,,0.516886722,0.509287684,0.793947339,-2.243305445,800,800,0
2023/09/13/15:29:25.565590,56,0,0,,0.516882022,0.509284971,0.803909006,-2.242923975,800,800,0
2023/09/13/15:29:25.576010,57,0,0,,0.516883901,0.509287747,0.797586614,-2.242738962,800,800,0
2023/09/13/15:29:25.585871,58,0,0,,0.516882309,0.50928642,0.774124436,-2.242222309,800,800,0
2023/09/13/15:29:25.595473,59,0,0,,0.516884637,0.509287272,0.751027362,-2.241973162,800,800,0
2023/09/13/15:29:25.606187,60,0,0,,0.516882316,0.509287601,0.792225153,-2.240690708,800,800,0
2023/09/13/15:29:25.615546,61,0,0,,0.516882953,0.509288844,0.816829375,-2.240754604,800,800,0
2023/09/13/15:29:25.625670,62,0,0,,0.516882936,0.509289315,0.820594042,-2.240787745,800,800,0
2023/09/13/15:29:25.635705,63,0,0,,0.516882233,0.509289224,0.811524534,-2.242263079,800,800,0
2023/09/13/15:29:25.645431,64,0,0,,0.516884268,0.509286686,0.821462045,-2.24266243,800,800,0
2023/09/13/15:29:25.655398,65,0,0,,0.516884973,0.509288625,0.803741353,-2.244667768,800,800,0
2023/09/13/15:29:25.665598,66,0,0,,0.516885948,0.509287447,0.798306135,-2.244970083,800,800,0
2023/09/13/15:29:25.675513,67,0,0,,0.51688377,0.509287335,0.805609442,-2.244596958,800,800,0
2023/09/13/15:29:25.685515,68,0,0,,0.516887611,0.509285158,0.801283634,-2.244148254,800,800,0
2023/09/13/15:29:25.695482,69,0,0,,0.516886783,0.509287215,0.827837335,-2.242866755,800,800,0
2023/09/13/15:29:25.714372,70,0,0,,0.516880778,0.509289964,0.848353544,-2.241523981,800,800,0
2023/09/13/15:29:25.715859,71,0,0,,0.516884414,0.509289224,0.788758694,-2.241523981,800,800,0
2023/09/13/15:29:25.726386,72,0,0,,0.516883846,0.509289668,0.798945771,-2.241462708,800,800,0
2023/09/13/15:29:25.736202,73,0,0,,0.516879301,0.509289081,0.786340777,-2.241314173,800,800,0
2023/09/13/15:29:25.745731,74,0,0,,0.516882483,0.509286474,0.7872074,-2.243071795,800,800,0
2023/09/13/15:29:25.755890,75,0,0,,0.516883436,0.509286074,0.789064271,-2.24318409,800,800,0
2023/09/13/15:29:25.765677,76,0,0,,0.516881264,0.509284793,0.7926976,-2.242690563,800,800,0
