time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/11/16:49:57.587093,1,0,0,,0.39855109233287134,1.0200628250214483,800.0,0.443339079631642,-0.07897208631038666,800.0,0.0
2023/09/11/16:49:57.596341,2,0,0,,0.39855109233287134,1.0200628250214483,800.0,0.44334006496336303,-0.07885918766260147,800.0,0.0
2023/09/11/16:49:57.606284,3,0,0,,0.39855109233287134,1.0062795130944282,800.0,0.44334006496336303,-0.07893947511911392,800.0,0.0
2023/09/11/16:49:57.616147,4,0,0,,0.39855119425602453,1.0062795130944282,800.0,0.44334006496336303,-0.07854869961738586,800.0,0.0
2023/09/11/16:49:57.626124,5,0,0,,0.39855119425602453,1.0062795130944282,800.0,0.44334006496336303,-0.07797413319349289,800.0,0.0
2023/09/11/16:49:57.636357,6,0,0,,0.39855119425602453,1.0344667325506864,800.0,0.44333853871882317,-0.0767102986574173,800.0,0.0
2023/09/11/16:49:57.646064,7,0,0,,0.39855119425602453,1.0344667325506864,800.0,0.44333853871882317,-0.07742822170257568,800.0,0.0
2023/09/11/16:49:57.656259,8,0,0,,0.3985501700913932,1.0344667325506864,800.0,0.44333853871882317,-0.07825390994548798,800.0,0.0
2023/09/11/16:49:57.666154,9,0,0,,0.3985501700913932,1.0344667325506864,800.0,0.4433385740584704,-0.07882773876190186,800.0,0.0
2023/09/11/16:49:57.676281,10,0,0,,0.3985501700913932,1.0279490672885105,800.0,0.4433385740584704,-0.07980555295944214,800.0,0.0
2023/09/11/16:49:57.686393,11,0,0,,0.3985501700913932,1.0279490672885105,800.0,0.4433385740584704,-0.0809965655207634,800.0,0.0
2023/09/11/16:49:57.696029,12,0,0,,0.3985501700913932,1.0279490672885105,800.0,0.4433385740584704,-0.0816432386636734,800.0,0.0
2023/09/11/16:49:57.708110,13,0,0,,0.3985501832112783,1.002043869702563,800.0,0.4433414345190766,-0.08115950226783752,800.0,0.0
2023/09/11/16:49:57.716319,14,0,0,,0.3985501832112783,1.002043869702563,800.0,0.4433414345190766,-0.08016626536846161,800.0,0.0
2023/09/11/16:49:57.726168,15,0,0,,0.3985501832112783,1.002043869702563,800.0,0.4433414345190766,-0.07953569293022156,800.0,0.0
2023/09/11/16:49:57.736010,16,0,0,,0.3985501832112783,1.002043869702563,800.0,0.4433414345190766,-0.07955798506736755,800.0,0.0
2023/09/11/16:49:57.746075,17,0,0,,0.39855025492432977,1.0149308511208253,800.0,0.44334041629153925,-0.0803077444434166,800.0,0.0
2023/09/11/16:49:57.756087,18,0,0,,0.39855025492432977,1.0149308511208253,800.0,0.44334041629153925,-0.08007179200649261,800.0,0.0
2023/09/11/16:49:57.766557,19,0,0,,0.39855025492432977,1.0149308511208253,800.0,0.44334041629153925,-0.08094221353530884,800.0,0.0
2023/09/11/16:49:57.776868,20,0,0,,0.39855025492432977,1.0250109384824553,800.0,0.44334041629153925,-0.08093944191932678,800.0,0.0
2023/09/11/16:49:57.785969,21,0,0,,0.3985522367511905,1.0250109384824553,800.0,0.44333642644624344,-0.08113445341587067,800.0,0.0
2023/09/11/16:49:57.795964,22,0,0,,0.3985522367511905,1.0250109384824553,800.0,0.44333642644624344,-0.08050189167261124,800.0,0.0
2023/09/11/16:49:57.806020,23,0,0,,0.3985494128972718,1.0248577843184001,800.0,0.44333642644624344,-0.08132065087556839,800.0,0.0
2023/09/11/16:49:57.815920,24,0,0,,0.3985494128972718,1.0248577843184001,800.0,0.44333642644624344,-0.08051981031894684,800.0,0.0
2023/09/11/16:49:57.825910,25,0,0,,0.3985494128972718,1.0248577843184001,800.0,0.44334200711562305,-0.08070844411849976,800.0,0.0
2023/09/11/16:49:57.836167,26,0,0,,0.3985494128972718,1.0248577843184001,800.0,0.44334200711562305,-0.08080846071243286,800.0,0.0
2023/09/11/16:49:57.846059,27,0,0,,0.39855232760876325,1.0348673771064505,800.0,0.44334200711562305,-0.08009352535009384,800.0,0.0
2023/09/11/16:49:57.855970,28,0,0,,0.39855232760876325,1.0348673771064505,800.0,0.44334200711562305,-0.08054891228675842,800.0,0.0
2023/09/11/16:49:57.865974,29,0,0,,0.39855232760876325,1.0348673771064505,800.0,0.44333915539009056,-0.08204961568117142,800.0,0.0
2023/09/11/16:49:57.876631,30,0,0,,0.39855232760876325,1.064796184195474,800.0,0.44333915539009056,-0.0826515406370163,800.0,0.0
2023/09/11/16:49:57.886309,31,0,0,,0.39855023047779486,1.064796184195474,800.0,0.44333915539009056,-0.08319881558418274,800.0,0.0
2023/09/11/16:49:57.896667,32,0,0,,0.39855023047779486,1.064796184195474,800.0,0.44333915539009056,-0.08242915570735931,800.0,0.0
2023/09/11/16:49:57.906140,33,0,0,,0.39855023047779486,1.064796184195474,800.0,0.4433407451922055,-0.08139015734195709,800.0,0.0
2023/09/11/16:49:57.916065,34,0,0,,0.39855023047779486,1.0386322325757826,800.0,0.4433407451922055,-0.08047240972518921,800.0,0.0
2023/09/11/16:49:57.926056,35,0,0,,0.39855023047779486,1.0386322325757826,800.0,0.4433407451922055,-0.07928653806447983,800.0,0.0
2023/09/11/16:49:57.937396,36,0,0,,0.39854709793616816,1.0386322325757826,800.0,0.4433407451922055,-0.07793313264846802,800.0,0.0
2023/09/11/16:49:57.946358,37,0,0,,0.39854709793616816,1.016646038071087,800.0,0.44333780558027513,-0.07796289026737213,800.0,0.0
2023/09/11/16:49:57.955840,38,0,0,,0.39854709793616816,1.016646038071087,800.0,0.44333780558027513,-0.07707929611206055,800.0,0.0
2023/09/11/16:49:57.965914,39,0,0,,0.39854709793616816,1.016646038071087,800.0,0.4433360038344207,-0.07684974372386932,800.0,0.0
2023/09/11/16:49:57.976279,40,0,0,,0.3985532450568523,1.0420775546804402,800.0,0.4433360038344207,-0.07761408388614655,800.0,0.0
