time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/14:42:06.795017,1,0,0,,0.36503537342718495,0.44231628270131834,0.32917325394362373,-0.3802509307861328,800.0,800.0,0.0
2023/09/13/14:42:06.804765,2,0,0,,0.3650374130420332,0.44231618196020506,0.3218797466844957,-0.37910979986190796,800.0,800.0,0.0
2023/09/13/14:42:06.815014,3,0,0,,0.36503782024636966,0.44231242023415207,0.3243148050506394,-0.37827175855636597,800.0,800.0,0.0
2023/09/13/14:42:06.824669,4,0,0,,0.36503913775069197,0.44231365896183594,0.32645682692364575,-0.37827175855636597,800.0,800.0,0.0
2023/09/13/14:42:06.836822,5,0,0,,0.36503862673576726,0.4423135642589456,0.3278597699984978,-0.37694334983825684,800.0,800.0,0.0
2023/09/13/14:42:06.844738,6,0,0,,0.3650359009930181,0.44231502918557697,0.29099147470185815,-0.37651997804641724,800.0,800.0,0.0
2023/09/13/14:42:06.854852,7,0,0,,0.3650353431673238,0.4423150483113494,0.29646712808254333,-0.37651997804641724,800.0,800.0,0.0
2023/09/13/14:42:06.864916,8,0,0,,0.36503635574645554,0.4423133279152028,0.30194033751736116,-0.37726646661758423,800.0,800.0,0.0
2023/09/13/14:42:06.875139,9,0,0,,0.36503665422056897,0.4423150834821377,0.300697593353803,-0.37726646661758423,800.0,800.0,0.0
2023/09/13/14:42:06.884728,10,0,0,,0.3650351027758617,0.44231501169876675,0.32470762677742054,-0.3785424530506134,800.0,800.0,0.0
2023/09/13/14:42:06.894751,11,0,0,,0.365038014577873,0.4423145073380527,0.3000058772781623,-0.3789145052433014,800.0,800.0,0.0
2023/09/13/14:42:06.904814,12,0,0,,0.3650390833136451,0.44231367239444763,0.30740876353502994,-0.37919723987579346,800.0,800.0,0.0
2023/09/13/14:42:06.914887,13,0,0,,0.36503665587454526,0.4423138363886151,0.31165570692244093,-0.3799452781677246,800.0,800.0,0.0
2023/09/13/14:42:06.925019,14,0,0,,0.3650376198620723,0.44231534622460356,0.29161680360589615,-0.379921019077301,800.0,800.0,0.0
2023/09/13/14:42:06.934945,15,0,0,,0.36503948125696434,0.44231216704587395,0.32402257491113895,-0.379921019077301,800.0,800.0,0.0
2023/09/13/14:42:06.944828,16,0,0,,0.36503927679482473,0.4423148953086455,0.2972105839128007,-0.38102686405181885,800.0,800.0,0.0
2023/09/13/14:42:06.954723,17,0,0,,0.3650367588424307,0.4423152230282929,0.30583914663094297,-0.38181257247924805,800.0,800.0,0.0
2023/09/13/14:42:06.964925,18,0,0,,0.3650381205530668,0.44231575732041734,0.3221684922503282,-0.38096222281455994,800.0,800.0,0.0
2023/09/13/14:42:06.974822,19,0,0,,0.36503756506969753,0.44231323157537844,0.32361656783764176,-0.38047176599502563,800.0,800.0,0.0
2023/09/13/14:42:06.984833,20,0,0,,0.3650347465784798,0.44231523231190545,0.34956869908582566,-0.38075095415115356,800.0,800.0,0.0
2023/09/13/14:42:06.995065,21,0,0,,0.3650357914837617,0.44231399759896106,0.3148204116884864,-0.37951207160949707,800.0,800.0,0.0
2023/09/13/14:42:07.005019,22,0,0,,0.36503559402959773,0.44231422287349853,0.3241737704399329,-0.3805791735649109,800.0,800.0,0.0
2023/09/13/14:42:07.014750,23,0,0,,0.3650371738017814,0.4423138645511686,0.32764660017509,-0.3805791735649109,800.0,800.0,0.0
2023/09/13/14:42:07.024722,24,0,0,,0.36503892911685387,0.44231336550010464,0.3042352652534234,-0.3796464800834656,800.0,800.0,0.0
2023/09/13/14:42:07.034904,25,0,0,,0.3650370664460435,0.4423155557470327,0.32083480763255773,-0.38012629747390747,800.0,800.0,0.0
2023/09/13/14:42:07.045474,26,0,0,,0.3650366069408221,0.442314103894239,0.30506652634964687,-0.3806612491607666,800.0,800.0,0.0
2023/09/13/14:42:07.055202,27,0,0,,0.36503686084550446,0.44231507296226324,0.2927791293368015,-0.37931758165359497,800.0,800.0,0.0
2023/09/13/14:42:07.065071,28,0,0,,0.36503887316761074,0.4423150466135807,0.2971617772021989,-0.37931758165359497,800.0,800.0,0.0
2023/09/13/14:42:07.075100,29,0,0,,0.365036813391999,0.442315278785441,0.2928646887346476,-0.38069355487823486,800.0,800.0,0.0
2023/09/13/14:42:07.084959,30,0,0,,0.3650361677467178,0.44231426569556875,0.2879540670013841,-0.38069355487823486,800.0,800.0,0.0
2023/09/13/14:42:07.095738,31,0,0,,0.3650379629350013,0.4423135170692711,0.28310468458082916,-0.381209135055542,800.0,800.0,0.0
2023/09/13/14:42:07.104893,32,0,0,,0.3650359000173306,0.44231447859315187,0.2686541866283615,-0.38198786973953247,800.0,800.0,0.0
2023/09/13/14:42:07.114851,33,0,0,,0.36503686308505906,0.4423150773960315,0.26881274473303884,-0.38141950964927673,800.0,800.0,0.0
2023/09/13/14:42:07.124737,34,0,0,,0.36503685748851433,0.4423128442912676,0.2878660321561208,-0.3808445334434509,800.0,800.0,0.0
2023/09/13/14:42:07.134989,35,0,0,,0.3650370733872579,0.442315036828104,0.30620444202920616,-0.38052043318748474,800.0,800.0,0.0
2023/09/13/14:42:07.144803,36,0,0,,0.36503629091886386,0.44231362126098683,0.2836676146031353,-0.37883585691452026,800.0,800.0,0.0
2023/09/13/14:42:07.154890,37,0,0,,0.3650361540502305,0.4423143982555466,0.31601487683889623,-0.37883585691452026,800.0,800.0,0.0
2023/09/13/14:42:07.164967,38,0,0,,0.36503696573058964,0.4423162451047787,0.33931301931976493,-0.37973451614379883,800.0,800.0,0.0
2023/09/13/14:42:07.174914,39,0,0,,0.3650387211937563,0.4423133689981446,0.3171966175638914,-0.37973451614379883,800.0,800.0,0.0
2023/09/13/14:42:07.185516,40,0,0,,0.36503888350614877,0.44231441387575904,0.34255236629822966,-0.38009873032569885,800.0,800.0,0.0
2023/09/13/14:42:07.194888,41,0,0,,0.36503828294496815,0.44231422296026124,0.35718712481176684,-0.380212664604187,800.0,800.0,0.0
2023/09/13/14:42:07.205144,42,0,0,,0.3650365520919754,0.4423159504709447,0.330272701709729,-0.3789360523223877,800.0,800.0,0.0
2023/09/13/14:42:07.215133,43,0,0,,0.36503579613405057,0.4423145554447901,0.34476704011782555,-0.37910985946655273,800.0,800.0,0.0
2023/09/13/14:42:07.225098,44,0,0,,0.36503378613778736,0.44231310350926767,0.32244289581800206,-0.37793591618537903,800.0,800.0,0.0
2023/09/13/14:42:07.234832,45,0,0,,0.36503765442106695,0.442313608569013,0.31485668501732766,-0.3774493932723999,800.0,800.0,0.0
2023/09/13/14:42:07.244844,46,0,0,,0.3650362088892236,0.44231244918149737,0.353182150595397,-0.37721237540245056,800.0,800.0,0.0
2023/09/13/14:42:07.255362,47,0,0,,0.36503210399021246,0.4423138776007057,0.3422671817493832,-0.3776431083679199,800.0,800.0,0.0
2023/09/13/14:42:07.265062,48,0,0,,0.3650376853905413,0.44231479771042853,0.30349119505056293,-0.37811270356178284,800.0,800.0,0.0
2023/09/13/14:42:07.274854,49,0,0,,0.36503644804224067,0.44231414639976024,0.31681883818832624,-0.37811270356178284,800.0,800.0,0.0
2023/09/13/14:42:07.284960,50,0,0,,0.3650377721880805,0.4423141733857603,0.3116015563531666,-0.3784071207046509,800.0,800.0,0.0
2023/09/13/14:42:07.294812,51,0,0,,0.3650390443022905,0.4423130688030917,0.31017519182077496,-0.3775586485862732,800.0,800.0,0.0
2023/09/13/14:42:07.304914,52,0,0,,0.36503448667967414,0.44231239120177424,0.3016654809964187,-0.377013623714447,800.0,800.0,0.0
2023/09/13/14:42:07.314919,53,0,0,,0.3650366629095262,0.4423129767968933,0.2996043541647095,-0.3778824210166931,800.0,800.0,0.0
2023/09/13/14:42:07.324941,54,0,0,,0.36503766894711115,0.4423132134107731,0.2707824690233701,-0.37823286652565,800.0,800.0,0.0
2023/09/13/14:42:07.335437,55,0,0,,0.3650376142538293,0.4423140634912058,0.27238815556906254,-0.378490149974823,800.0,800.0,0.0
2023/09/13/14:42:07.344842,56,0,0,,0.3650377151546945,0.44231373723292317,0.28998644726020817,-0.3803425431251526,800.0,800.0,0.0
2023/09/13/14:42:07.354758,57,0,0,,0.365038173126141,0.44231433397878017,0.2773201687588094,-0.38149410486221313,800.0,800.0,0.0
2023/09/13/14:42:07.365073,58,0,0,,0.36504023725632884,0.4423132607051483,0.28091517135542615,-0.38149410486221313,800.0,800.0,0.0
2023/09/13/14:42:07.375485,59,0,0,,0.3650356520939426,0.44231439570346837,0.28364006905425776,-0.38107502460479736,800.0,800.0,0.0
2023/09/13/14:42:07.385463,60,0,0,,0.36503452804286607,0.44231388655487214,0.2644552714872968,-0.38029944896698,800.0,800.0,0.0
2023/09/13/14:42:07.394775,61,0,0,,0.36503667094584763,0.4423131525036014,0.26586190649724784,-0.38006675243377686,800.0,800.0,0.0
2023/09/13/14:42:07.405079,62,0,0,,0.3650396061179619,0.4423132808955367,0.2774857138254886,-0.37879931926727295,800.0,800.0,0.0
2023/09/13/14:42:07.414985,63,0,0,,0.3650355006912514,0.442313975949465,0.32255647903463236,-0.3789113163948059,800.0,800.0,0.0
2023/09/13/14:42:07.424853,64,0,0,,0.365036551960646,0.44231335221297774,0.3149808748642375,-0.3789113163948059,800.0,800.0,0.0
2023/09/13/14:42:07.435091,65,0,0,,0.3650352496674185,0.442314962682594,0.3325156206389849,-0.3795962929725647,800.0,800.0,0.0
2023/09/13/14:42:07.444819,66,0,0,,0.3650382245146736,0.4423150607531369,0.3309596560071494,-0.3794015347957611,800.0,800.0,0.0
2023/09/13/14:42:07.454734,67,0,0,,0.3650360971126509,0.44231189219235145,0.37796335489333543,-0.3793739676475525,800.0,800.0,0.0
2023/09/13/14:42:07.465092,68,0,0,,0.3650376105185963,0.4423144739406044,0.3573379681874511,-0.3793739676475525,800.0,800.0,0.0
2023/09/13/14:42:07.475711,69,0,0,,0.365034983063266,0.44231336142505956,0.375525978112539,-0.3793371021747589,800.0,800.0,0.0
2023/09/13/14:42:07.484712,70,0,0,,0.3650373282350117,0.44231299604063856,0.348444853079039,-0.37933215498924255,800.0,800.0,0.0
2023/09/13/14:42:07.494879,71,0,0,,0.36503802014904396,0.44231516606326554,0.33146589988968156,-0.37933215498924255,800.0,800.0,0.0
2023/09/13/14:42:07.504761,72,0,0,,0.3650389893641558,0.44231503240371206,0.32691317856218927,-0.379249632358551,800.0,800.0,0.0
2023/09/13/14:42:07.514735,73,0,0,,0.36504075750223286,0.4423121490956721,0.28589392232864197,-0.3803804814815521,800.0,800.0,0.0
2023/09/13/14:42:07.525033,74,0,0,,0.3650381767224955,0.44231323057188654,0.26778189158771126,-0.38019147515296936,800.0,800.0,0.0
2023/09/13/14:42:07.534783,75,0,0,,0.365038983810063,0.44231385269838147,0.25244034620505595,-0.37993431091308594,800.0,800.0,0.0
2023/09/13/14:42:07.544942,76,0,0,,0.3650346481100072,0.4423129599840553,0.2862160474270167,-0.379184365272522,800.0,800.0,0.0
2023/09/13/14:42:07.554676,77,0,0,,0.365037216365406,0.44231497986580287,0.2607915283392979,-0.37852394580841064,800.0,800.0,0.0
2023/09/13/14:42:07.565035,78,0,0,,0.36503879028985364,0.4423123566553764,0.295230895985444,-0.37940800189971924,800.0,800.0,0.0
2023/09/13/14:42:07.574908,79,0,0,,0.365037025958147,0.4423134401062863,0.29471547258602193,-0.37940800189971924,800.0,800.0,0.0
2023/09/13/14:42:07.584892,80,0,0,,0.3650373102597967,0.44231398541258615,0.3258446313506483,-0.3802202343940735,800.0,800.0,0.0
2023/09/13/14:42:07.594778,81,0,0,,0.365035246638985,0.4423137222567951,0.33864247525594665,-0.3808526396751404,800.0,800.0,0.0
2023/09/13/14:42:07.606732,82,0,0,,0.3650371570175818,0.44231159230707573,0.3241558155002599,-0.38118213415145874,800.0,800.0,0.0
2023/09/13/14:42:07.614843,83,0,0,,0.36503811725234464,0.44231356986348663,0.3316781294465212,-0.38118213415145874,800.0,800.0,0.0
2023/09/13/14:42:07.624909,84,0,0,,0.36503852895116634,0.4423123719308453,0.31940286950965546,-0.3797840178012848,800.0,800.0,0.0
2023/09/13/14:42:07.634819,85,0,0,,0.3650375880127572,0.44231422245565233,0.31130042596872,-0.3781425952911377,800.0,800.0,0.0
2023/09/13/14:42:07.644771,86,0,0,,0.36503746718614993,0.4423117358189893,0.3038974651860256,-0.3781638741493225,800.0,800.0,0.0
2023/09/13/14:42:07.654913,87,0,0,,0.3650349840898459,0.44231356767269314,0.29830653551508923,-0.3781638741493225,800.0,800.0,0.0
2023/09/13/14:42:07.664719,88,0,0,,0.36503574121366583,0.44231241712588437,0.3005485653786392,-0.3782305121421814,800.0,800.0,0.0
2023/09/13/14:42:07.674989,89,0,0,,0.36504029194991444,0.44231260996722543,0.2875927294486935,-0.3800750970840454,800.0,800.0,0.0
2023/09/13/14:42:07.684780,90,0,0,,0.36503670133288046,0.44231422526974573,0.27160169600062506,-0.3800750970840454,800.0,800.0,0.0
2023/09/13/14:42:07.694918,91,0,0,,0.3650371135267575,0.4423119773991835,0.2938207740527712,-0.3806302547454834,800.0,800.0,0.0
2023/09/13/14:42:07.704957,92,0,0,,0.36504013442500993,0.44231348765157796,0.2662184022419886,-0.37995263934135437,800.0,800.0,0.0
2023/09/13/14:42:07.714951,93,0,0,,0.36503665714860045,0.44231546744764844,0.2873154885341546,-0.3793104887008667,800.0,800.0,0.0
2023/09/13/14:42:07.725112,94,0,0,,0.36504039704745084,0.44231282922330173,0.2720535554091907,-0.37952542304992676,800.0,800.0,0.0
