time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/18:58:06.562439,122,0,0,,0.5106657002913557,0.3996190840352767,1.0761843390419625,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.563774,126245,0,0,,0.5106658754873167,0.39962059153852836,1.076387823002731,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.572269,123,0,0,,0.5106685884347767,0.3996202775407707,1.0519362357530777,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.575314,126246,0,0,,0.5106685884347767,0.3996202775407707,1.0519362357530777,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.581956,124,0,0,,0.5106650878005222,0.3996202619977093,1.0628844340123014,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.585758,126247,0,0,,0.5106687448856573,0.3996197863818224,1.0643484591849448,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.592463,125,0,0,,0.5106709104521977,0.3996189362686121,1.0564523042864205,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.593858,126248,0,0,,0.5106697586585254,0.3996200828032239,1.0581562314341288,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.601960,126,0,0,,0.5106680905185755,0.3996199817283239,1.047895624606878,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.603917,126249,0,0,,0.5106693320125661,0.39962076094186705,1.0448409476137304,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.611995,127,0,0,,0.510666563910907,0.39961891814294226,1.051520003495648,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.613671,126250,0,0,,0.5106664297677375,0.39961891814294226,1.0527422038740797,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.623815,128,0,0,,0.5106681338071597,0.3996191249137645,1.0339206323915546,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.623887,126251,0,0,,0.5106670580708621,0.3996187214776372,1.0405446742266162,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.632447,129,0,0,,0.5106659393717448,0.39962043095718824,1.0551435161039902,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.633568,126252,0,0,,0.5106674831710516,0.39961928116532464,1.0557944376761188,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.642242,130,0,0,,0.5106665760537104,0.39962006788783216,1.0817530979853351,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.643934,126253,0,0,,0.510666073133122,0.3996185391451832,1.0795100358623335,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.652079,131,0,0,,0.5106688919605844,0.3996188420702481,1.0955102243797605,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.654128,126254,0,0,,0.5106650704147473,0.39962087651594813,1.0938853455266322,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.662045,132,0,0,,0.5106680382581191,0.39961839006005495,1.089572637083949,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.664005,126255,0,0,,0.5106670267051194,0.3996195980683996,1.068580123593541,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.671922,133,0,0,,0.5106673790778892,0.3996203680157121,1.0840294716643508,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.674202,126256,0,0,,0.510667769541758,0.3996203680157121,1.0968276275104252,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.681901,134,0,0,,0.5106701613208557,0.3996209174017579,1.0900711864856922,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.684205,126257,0,0,,0.5106666402396092,0.3996190338976936,1.0790787231253711,0.0,800.0,800.0,0.0,0.0
