time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/15:37:36.822177,1,0,0,,0.4073579850404291,0.4529178120786787,-1.659595627616725,-2.2183620929718018,800.0,800.0,0.0
2023/09/13/15:37:36.831349,2,0,0,,0.407353830475282,0.4529183026713641,-1.6625782839801835,-2.2180938720703125,800.0,800.0,0.0
2023/09/13/15:37:36.840998,3,0,0,,0.4073542004648444,0.452916275966001,-1.6601988748492102,-2.2180991172790527,800.0,800.0,0.0
2023/09/13/15:37:36.851117,4,0,0,,0.40735365197665074,0.45291555884353624,-1.65414078471711,-2.2177574634552,800.0,800.0,0.0
2023/09/13/15:37:36.861147,5,0,0,,0.4073574581218883,0.45291698688131965,-1.6512377148598152,-2.2180728912353516,800.0,800.0,0.0
2023/09/13/15:37:36.870945,6,0,0,,0.40735522639800054,0.4529178800417183,-1.6371050501896696,-2.2189111709594727,800.0,800.0,0.0
2023/09/13/15:37:36.882302,7,0,0,,0.40735413880968263,0.4529182070357641,-1.6160641877695223,-2.218571424484253,800.0,800.0,0.0
2023/09/13/15:37:36.891982,8,0,0,,0.4073545435094725,0.4529174106290633,-1.6258717079121934,-2.2195000648498535,800.0,800.0,0.0
2023/09/13/15:37:36.901375,9,0,0,,0.4073574466857979,0.4529161118999555,-1.6423726849288829,-2.219599962234497,800.0,800.0,0.0
2023/09/13/15:37:36.911652,10,0,0,,0.4073577527752468,0.4529169240465505,-1.620388450867939,-2.2199289798736572,800.0,800.0,0.0
2023/09/13/15:37:36.921114,11,0,0,,0.40735506416467043,0.45291784365898113,-1.6022097595445,-2.219224452972412,800.0,800.0,0.0
2023/09/13/15:37:36.931646,12,0,0,,0.407355221176037,0.4529173621192693,-1.637748608346969,-2.2203190326690674,800.0,800.0,0.0
2023/09/13/15:37:36.940949,13,0,0,,0.407353635156483,0.45291613833538225,-1.631881180292431,-2.2193081378936768,800.0,800.0,0.0
2023/09/13/15:37:36.951436,14,0,0,,0.4073568304469287,0.4529166194421709,-1.6478394121514603,-2.2193081378936768,800.0,800.0,0.0
2023/09/13/15:37:36.961124,15,0,0,,0.4073556885783685,0.45291484239220214,-1.6269574919066954,-2.220219612121582,800.0,800.0,0.0
2023/09/13/15:37:36.971154,16,0,0,,0.4073573855035894,0.45291650959961777,-1.6264105822674841,-2.219503879547119,800.0,800.0,0.0
2023/09/13/15:37:36.981301,17,0,0,,0.4073566203839303,0.45291729292343597,-1.6391162971532947,-2.2188525199890137,800.0,800.0,0.0
2023/09/13/15:37:36.991132,18,0,0,,0.4073546448431943,0.45291702514637605,-1.6414198198372305,-2.2183854579925537,800.0,800.0,0.0
2023/09/13/15:37:37.001139,19,0,0,,0.4073510072130625,0.45291669200476464,-1.6115543294679109,-2.2172346115112305,800.0,800.0,0.0
2023/09/13/15:37:37.011307,20,0,0,,0.4073583505759256,0.4529179229062147,-1.6258440610526874,-2.21665620803833,800.0,800.0,0.0
2023/09/13/15:37:37.021040,21,0,0,,0.4073536806734834,0.45291669140268026,-1.6292997152606983,-2.217515468597412,800.0,800.0,0.0
2023/09/13/15:37:37.031188,22,0,0,,0.40735963300353295,0.45291674340897214,-1.620579581845784,-2.217636823654175,800.0,800.0,0.0
2023/09/13/15:37:37.041347,23,0,0,,0.4073563317782932,0.4529153445432909,-1.608304800928207,-2.219081401824951,800.0,800.0,0.0
2023/09/13/15:37:37.051073,24,0,0,,0.40735478311336987,0.45291631810462635,-1.639612937540248,-2.219494104385376,800.0,800.0,0.0
2023/09/13/15:37:37.061232,25,0,0,,0.40735675577771485,0.45291804991104473,-1.6278082041580852,-2.219019889831543,800.0,800.0,0.0
2023/09/13/15:37:37.071046,26,0,0,,0.4073552614080461,0.4529175928476234,-1.6412797298673059,-2.2189836502075195,800.0,800.0,0.0
2023/09/13/15:37:37.081075,27,0,0,,0.4073558660685993,0.4529167849275735,-1.621438373698496,-2.219327449798584,800.0,800.0,0.0
2023/09/13/15:37:37.090996,28,0,0,,0.40735510609484066,0.4529171966929361,-1.6216609345186632,-2.21840763092041,800.0,800.0,0.0
2023/09/13/15:37:37.101047,29,0,0,,0.4073579103913846,0.4529153310399794,-1.6166653035072127,-2.217522621154785,800.0,800.0,0.0
2023/09/13/15:37:37.111218,30,0,0,,0.40735501930194107,0.45291698651762125,-1.6318223497967874,-2.218944787979126,800.0,800.0,0.0
2023/09/13/15:37:37.122132,31,0,0,,0.4073545309158011,0.4529174123538008,-1.6174439305970914,-2.2192482948303223,800.0,800.0,0.0
2023/09/13/15:37:37.131110,32,0,0,,0.4073563359621464,0.45291849778677673,-1.6360203603032861,-2.2188785076141357,800.0,800.0,0.0
2023/09/13/15:37:37.141068,33,0,0,,0.40735748717597053,0.45291752112479233,-1.6209044618059796,-2.219162940979004,800.0,800.0,0.0
2023/09/13/15:37:37.151710,34,0,0,,0.4073562341323031,0.45291753431306886,-1.6160289637474061,-2.219165802001953,800.0,800.0,0.0
2023/09/13/15:37:37.161088,35,0,0,,0.4073572440495052,0.4529164139094945,-1.6345174123615858,-2.218031167984009,800.0,800.0,0.0
2023/09/13/15:37:37.171196,36,0,0,,0.40735362277247017,0.4529165214778891,-1.6316332688716788,-2.217252016067505,800.0,800.0,0.0
2023/09/13/15:37:37.181204,37,0,0,,0.40735410494870467,0.45291627321300715,-1.659439863423667,-2.217484712600708,800.0,800.0,0.0
2023/09/13/15:37:37.191394,38,0,0,,0.40735422615256756,0.4529166238318927,-1.6457524937853132,-2.2180278301239014,800.0,800.0,0.0
2023/09/13/15:37:37.201134,39,0,0,,0.40735642205108535,0.45291846498712285,-1.6390165978840416,-2.218616485595703,800.0,800.0,0.0
2023/09/13/15:37:37.212473,40,0,0,,0.4073559907788358,0.4529172448534154,-1.6522048394096691,-2.218510150909424,800.0,800.0,0.0
2023/09/13/15:37:37.221245,41,0,0,,0.4073546396048605,0.4529167882035835,-1.6461409221488252,-2.21871280670166,800.0,800.0,0.0
2023/09/13/15:37:37.231277,42,0,0,,0.40735656464419207,0.45291676265481884,-1.636153506825035,-2.218672513961792,800.0,800.0,0.0
2023/09/13/15:37:37.241130,43,0,0,,0.4073536102762687,0.45291566349000206,-1.658275001435412,-2.217355489730835,800.0,800.0,0.0
2023/09/13/15:37:37.251626,44,0,0,,0.40735716280456774,0.4529170806460365,-1.6356368231239435,-2.2171108722686768,800.0,800.0,0.0
2023/09/13/15:37:37.261192,45,0,0,,0.40735337863486976,0.4529184116583712,-1.6245766296522508,-2.218104839324951,800.0,800.0,0.0
2023/09/13/15:37:37.271624,46,0,0,,0.4073556019807039,0.45291690681128155,-1.6636765445967454,-2.2185587882995605,800.0,800.0,0.0
2023/09/13/15:37:37.281067,47,0,0,,0.4073563593778434,0.4529163759206729,-1.6350120888358801,-2.2175004482269287,800.0,800.0,0.0
2023/09/13/15:37:37.291055,48,0,0,,0.4073547110239558,0.4529165283208743,-1.6445916479557632,-2.2175235748291016,800.0,800.0,0.0
2023/09/13/15:37:37.301136,49,0,0,,0.4073560274123128,0.45291611655034375,-1.6559144614725263,-2.216602325439453,800.0,800.0,0.0
2023/09/13/15:37:37.311348,50,0,0,,0.4073587871064119,0.45291787756573354,-1.6583257745501714,-2.216419219970703,800.0,800.0,0.0
2023/09/13/15:37:37.320901,51,0,0,,0.40735563177712697,0.4529165509347066,-1.6636751042555464,-2.216055154800415,800.0,800.0,0.0
2023/09/13/15:37:37.331503,52,0,0,,0.40735453500127655,0.4529187532380503,-1.67733995435109,-2.2174439430236816,800.0,800.0,0.0
2023/09/13/15:37:37.341166,53,0,0,,0.4073530670083036,0.45291708497903627,-1.675449927158088,-2.2177484035491943,800.0,800.0,0.0
2023/09/13/15:37:37.350935,54,0,0,,0.40735484262849897,0.4529175179976186,-1.658719371079122,-2.219641923904419,800.0,800.0,0.0
2023/09/13/15:37:37.361135,55,0,0,,0.4073543217583965,0.4529173105571075,-1.658123998492435,-2.220001220703125,800.0,800.0,0.0
2023/09/13/15:37:37.371272,56,0,0,,0.40735594938849023,0.4529160049984881,-1.6668727659209412,-2.2201895713806152,800.0,800.0,0.0
2023/09/13/15:37:37.381794,57,0,0,,0.40735630923134836,0.4529175941353504,-1.6225591968099367,-2.220017910003662,800.0,800.0,0.0
2023/09/13/15:37:37.390924,58,0,0,,0.40735483909561054,0.4529170191303277,-1.6380770018226887,-2.2209601402282715,800.0,800.0,0.0
2023/09/13/15:37:37.401615,59,0,0,,0.4073539152978808,0.4529183654736849,-1.6235833324755518,-2.2202565670013428,800.0,800.0,0.0
2023/09/13/15:37:37.411079,60,0,0,,0.4073593027495891,0.45291820962226814,-1.6385622281517545,-2.220635175704956,800.0,800.0,0.0
2023/09/13/15:37:37.421136,61,0,0,,0.4073578862156763,0.452916211894417,-1.622516675041883,-2.2207863330841064,800.0,800.0,0.0
2023/09/13/15:37:37.430936,62,0,0,,0.4073564577648463,0.45291816746282443,-1.6438359336565145,-2.220372438430786,800.0,800.0,0.0
