time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/18:46:45.430872,126,0,0,,0.4640308011309091,0.44839351727859184,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.433650,58132,0,0,,0.46403032668107286,0.4483920481761555,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.440632,127,0,0,,0.4640308914630247,0.44839278301496344,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.443632,58133,0,0,,0.4640320638820962,0.4483924288307319,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.450823,128,0,0,,0.4640300445088853,0.4483910763383252,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.454219,58134,0,0,,0.464030458232861,0.4483934365463895,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.460434,129,0,0,,0.4640343707780828,0.4483926169428606,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.463824,58135,0,0,,0.46403126789326515,0.44839191197509465,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.470571,130,0,0,,0.46403247391369795,0.448392929239611,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.473671,58136,0,0,,0.4640336984993738,0.4483928445909201,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.480627,131,0,0,,0.46403405493897254,0.4483943211006313,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.483656,58137,0,0,,0.46403316417391827,0.44839225280650763,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.490678,132,0,0,,0.4640338333304884,0.4483920593037064,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.493667,58138,0,0,,0.464031048371643,0.4483919635314831,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.501197,133,0,0,,0.464033454400001,0.4483923699074841,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.503691,58139,0,0,,0.46403511694481403,0.4483923561838926,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.510671,134,0,0,,0.4640336237574316,0.4483941374001993,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.514047,58140,0,0,,0.4640337548934731,0.4483923538242559,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.520476,135,0,0,,0.4640321218346491,0.4483907842993672,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.523746,58141,0,0,,0.4640357601861548,0.44839426981267083,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.531572,136,0,0,,0.4640319774060417,0.44839277667470656,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.533856,58142,0,0,,0.4640328058225233,0.44839319496662805,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.540676,137,0,0,,0.4640300345435293,0.44839289395387927,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.543713,58143,0,0,,0.4640303117710799,0.44839247956513484,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.551427,138,0,0,,0.46403540293250944,0.4483931364693672,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.553549,58144,0,0,,0.46403287188808995,0.44839292866593716,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.560834,139,0,0,,0.4640309949856316,0.44839285771131715,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.563829,58145,0,0,,0.4640292230843787,0.44839113385923357,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.570354,140,0,0,,0.4640331350320293,0.4483938905146942,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.573541,58146,0,0,,0.4640344885454146,0.44839223960950625,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.580557,141,0,0,,0.4640336262057756,0.4483927956529853,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.583567,58147,0,0,,0.4640294815473526,0.44839244086627705,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.590508,142,0,0,,0.46403564788434226,0.44839299245215014,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.593541,58148,0,0,,0.46403102239369454,0.44839286088349795,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.601766,143,0,0,,0.46403400908377,0.4483930455387393,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.604179,58149,0,0,,0.46403460800280394,0.44839327926934036,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.610546,144,0,0,,0.4640297805063704,0.44839414162735086,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.613705,58150,0,0,,0.4640344561644164,0.4483931449605524,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.620833,145,0,0,,0.46403282360306886,0.448392911746352,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.624080,58151,0,0,,0.46403371605827376,0.4483937083780102,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.630528,146,0,0,,0.4640338453528997,0.4483916153161355,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.633502,58152,0,0,,0.46403494050065924,0.44839174047764435,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.640789,147,0,0,,0.46403260261402124,0.44839327333149964,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.643647,58153,0,0,,0.4640338795029964,0.44839372262525323,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.650646,148,0,0,,0.46403575951520926,0.4483926797807297,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.655640,58154,0,0,,0.464035558434201,0.44839115079086794,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.660764,149,0,0,,0.4640301534698965,0.4483927443344665,0.0,0.0,800.0,800.0,0.0,0.0
