time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/12/14:39:41.186812,1,0,0,,0.40767271841218106,0.19970261078883156,-1.6552561742085936,-0.6850998401641846,10.0,0.0,0.0
2023/09/12/14:39:41.195474,2,0,0,,0.40767271841218106,0.19970275661928194,-1.6552561742085936,-0.6863517165184021,10.0,0.0,0.0
2023/09/12/14:39:41.207486,3,0,0,,0.40767271841218106,0.19970275661928194,-1.6469147317401889,-0.6854632496833801,10.0,0.0,0.0
2023/09/12/14:39:41.215725,4,0,0,,0.40767090262505185,0.19970275661928194,-1.6469147317401889,-0.6838394999504089,10.0,0.0,0.0
2023/09/12/14:39:41.225562,5,0,0,,0.40767090262505185,0.19970275661928194,-1.6469147317401889,-0.6844902634620667,10.0,0.0,0.0
2023/09/12/14:39:41.235462,6,0,0,,0.40767090262505185,0.19970384803236405,-1.6695669740327086,-0.6850321292877197,10.0,0.0,0.0
2023/09/12/14:39:41.245476,7,0,0,,0.40767090262505185,0.19970384803236405,-1.6695669740327086,-0.6855424642562866,10.0,0.0,0.0
2023/09/12/14:39:41.255513,8,0,0,,0.40767296510014006,0.19970384803236405,-1.6695669740327086,-0.6864145994186401,10.0,0.0,0.0
2023/09/12/14:39:41.265608,9,0,0,,0.40767296510014006,0.19970384803236405,-1.6695669740327086,-0.6869382858276367,10.0,0.0,0.0
2023/09/12/14:39:41.275424,10,0,0,,0.40767296510014006,0.19970408823957153,-1.6924016087294873,-0.686690092086792,10.0,0.0,0.0
2023/09/12/14:39:41.285539,11,0,0,,0.40767296510014006,0.19970408823957153,-1.6924016087294873,-0.6870677471160889,10.0,0.0,0.0
2023/09/12/14:39:41.295371,12,0,0,,0.4076723817038561,0.19970408823957153,-1.6924016087294873,-0.6872890591621399,10.0,0.0,0.0
2023/09/12/14:39:41.305458,13,0,0,,0.4076723817038561,0.19970408823957153,-1.660796227659021,-0.6865113973617554,10.0,0.0,0.0
2023/09/12/14:39:41.315480,14,0,0,,0.4076723817038561,0.1997037658608667,-1.660796227659021,-0.6864812970161438,10.0,0.0,0.0
2023/09/12/14:39:41.325509,15,0,0,,0.4076723817038561,0.1997037658608667,-1.660796227659021,-0.6871005296707153,10.0,0.0,0.0
2023/09/12/14:39:41.335454,16,0,0,,0.40767163982017146,0.1997037658608667,-1.6458506804748645,-0.6862850189208984,10.0,0.0,0.0
2023/09/12/14:39:41.345446,17,0,0,,0.40767163982017146,0.1997037658608667,-1.6458506804748645,-0.6842796802520752,10.0,0.0,0.0
2023/09/12/14:39:41.355695,18,0,0,,0.40767163982017146,0.19970401117785036,-1.6458506804748645,-0.6842226386070251,10.0,0.0,0.0
2023/09/12/14:39:41.365608,19,0,0,,0.40767163982017146,0.19970401117785036,-1.6458506804748645,-0.6846051216125488,10.0,0.0,0.0
