time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/14:39:14.836522,1,0,0,,0.371728534584034,0.45498534482204184,0.3413223028808308,-0.2495880424976349,800.0,800.0,0.0
2023/09/13/14:39:14.846645,2,0,0,,0.37172691089021836,0.4549842330084907,0.3560364338398193,-0.24864313006401062,800.0,800.0,0.0
2023/09/13/14:39:14.856849,3,0,0,,0.3717273257138378,0.45498352246083085,0.36455108824925236,-0.2480754554271698,800.0,800.0,0.0
2023/09/13/14:39:14.867507,4,0,0,,0.3717253889504827,0.4549838970707585,0.36157560107532805,-0.2481408417224884,800.0,800.0,0.0
2023/09/13/14:39:14.876539,5,0,0,,0.37172739044510833,0.45498310630056166,0.36399614570942757,-0.24945469200611115,800.0,800.0,0.0
2023/09/13/14:39:14.886423,6,0,0,,0.3717264753798058,0.45498269693325455,0.3774413314486801,-0.24836507439613342,800.0,800.0,0.0
2023/09/13/14:39:14.896662,7,0,0,,0.37172623756924383,0.45498521689177446,0.36819988661360664,-0.2490525096654892,800.0,800.0,0.0
2023/09/13/14:39:14.906496,8,0,0,,0.3717283041633296,0.4549841731275279,0.37187481638448305,-0.2494758665561676,800.0,800.0,0.0
2023/09/13/14:39:14.916361,9,0,0,,0.37172895482782836,0.45498258846767825,0.36366521096769555,-0.25033295154571533,800.0,800.0,0.0
2023/09/13/14:39:14.926399,10,0,0,,0.3717274146292776,0.454984404033347,0.36719074954080233,-0.2503528296947479,800.0,800.0,0.0
2023/09/13/14:39:14.936479,11,0,0,,0.371727946184487,0.45498287865045023,0.3735297617614774,-0.2510215640068054,800.0,800.0,0.0
2023/09/13/14:39:14.946393,12,0,0,,0.37173061978753447,0.4549832038914144,0.3856722019775567,-0.25027450919151306,800.0,800.0,0.0
2023/09/13/14:39:14.957509,13,0,0,,0.3717292068106528,0.45498556015578984,0.3495749969298965,-0.24984830617904663,800.0,800.0,0.0
2023/09/13/14:39:14.967007,14,0,0,,0.371731647692546,0.4549865614810844,0.3432504267564264,-0.24853339791297913,800.0,800.0,0.0
2023/09/13/14:39:14.976828,15,0,0,,0.37172682609387,0.45498572933186815,0.3244118650881747,-0.24760615825653076,800.0,800.0,0.0
2023/09/13/14:39:14.987797,16,0,0,,0.371729454679459,0.45498560054630877,0.334884671959143,-0.24849697947502136,800.0,800.0,0.0
2023/09/13/14:39:14.996441,17,0,0,,0.37172707834061164,0.4549830474155214,0.3257822269522115,-0.2486812174320221,800.0,800.0,0.0
2023/09/13/14:39:15.006818,18,0,0,,0.3717259221319001,0.45498374827418064,0.331000070568354,-0.24893149733543396,800.0,800.0,0.0
2023/09/13/14:39:15.018107,19,0,0,,0.37172984435759715,0.45498285145934336,0.3529628055658392,-0.24906891584396362,800.0,800.0,0.0
2023/09/13/14:39:15.026425,20,0,0,,0.37172932413850746,0.4549823413875989,0.36859234757092996,-0.24924510717391968,800.0,800.0,0.0
2023/09/13/14:39:15.036419,21,0,0,,0.37173047437106344,0.4549830773042079,0.35535209323920475,-0.2483668029308319,800.0,800.0,0.0
2023/09/13/14:39:15.046578,22,0,0,,0.3717272629498045,0.4549858865260456,0.36603589085495447,-0.24948135018348694,800.0,800.0,0.0
2023/09/13/14:39:15.056576,23,0,0,,0.3717285871813686,0.4549849950502935,0.37587056257070267,-0.2493058145046234,800.0,800.0,0.0
2023/09/13/14:39:15.066949,24,0,0,,0.3717275652661135,0.45498444298835666,0.39096219480816957,-0.24985677003860474,800.0,800.0,0.0
2023/09/13/14:39:15.076442,25,0,0,,0.3717280950016407,0.45498428930454293,0.37550015313286983,-0.25007006525993347,800.0,800.0,0.0
2023/09/13/14:39:15.086609,26,0,0,,0.3717311467122194,0.45498392278173816,0.37359112532100436,-0.2496623396873474,800.0,800.0,0.0
2023/09/13/14:39:15.096437,27,0,0,,0.3717258613082023,0.45498263806051287,0.4163911266748745,-0.24897263944149017,800.0,800.0,0.0
2023/09/13/14:39:15.106436,28,0,0,,0.3717296469998037,0.4549852540840436,0.37394245851238983,-0.2489059418439865,800.0,800.0,0.0
2023/09/13/14:39:15.116435,29,0,0,,0.37172772748131105,0.4549828164531423,0.3842852676651481,-0.24785614013671875,800.0,800.0,0.0
2023/09/13/14:39:15.126745,30,0,0,,0.37172998547345437,0.4549835961663064,0.37875331414700764,-0.2482690066099167,800.0,800.0,0.0
2023/09/13/14:39:15.136485,31,0,0,,0.37172837295228717,0.45498348218565465,0.37372089988751067,-0.24914240837097168,800.0,800.0,0.0
2023/09/13/14:39:15.146547,32,0,0,,0.3717300983706208,0.45498555475035557,0.3470716560118001,-0.2484724223613739,800.0,800.0,0.0
2023/09/13/14:39:15.156506,33,0,0,,0.3717255493622308,0.45498648233962424,0.3704574016566983,-0.24846906960010529,800.0,800.0,0.0
2023/09/13/14:39:15.166623,34,0,0,,0.3717283480002542,0.4549840412094281,0.33413971134888276,-0.24927659332752228,800.0,800.0,0.0
2023/09/13/14:39:15.176614,35,0,0,,0.37172798304861626,0.45498366397160006,0.3715646913796634,-0.2487199604511261,800.0,800.0,0.0
2023/09/13/14:39:15.186562,36,0,0,,0.37173098691300244,0.4549837556405676,0.34857383506399375,-0.24855858087539673,800.0,800.0,0.0
2023/09/13/14:39:15.196604,37,0,0,,0.37172588552168345,0.4549829037509294,0.37811313692307785,-0.2498767375946045,800.0,800.0,0.0
2023/09/13/14:39:15.206826,38,0,0,,0.37172806304358896,0.45498410479417634,0.4080922116161216,-0.25025320053100586,800.0,800.0,0.0
2023/09/13/14:39:15.216528,39,0,0,,0.3717306112485104,0.45498420939479556,0.3900790180775858,-0.2507373094558716,800.0,800.0,0.0
2023/09/13/14:39:15.227220,40,0,0,,0.3717288459589344,0.4549857639538874,0.38102753997714356,-0.2514045238494873,800.0,800.0,0.0
2023/09/13/14:39:15.237326,41,0,0,,0.37172835420102884,0.4549841895095702,0.38829771433420945,-0.2521287798881531,800.0,800.0,0.0
