time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/17:59:40.508443,1,0,0,,0.2977246150258097,0.3902427680840574,0.2565599358123747,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.518903,2,0,0,,0.2977239576659494,0.3902415813286197,0.24706790745500565,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.528486,3,0,0,,0.29772388353558504,0.39024318069628317,0.23642832207621658,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.538624,4,0,0,,0.2977235265725922,0.3902432940262618,0.2423816097302564,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.548683,5,0,0,,0.29772346007967254,0.3902432230213025,0.2506696678896249,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.558398,6,0,0,,0.2977239634311942,0.3902429393310852,0.24319539743292265,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.568398,7,0,0,,0.2977242396444799,0.39024230343124544,0.25835251894114497,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.578341,8,0,0,,0.29772471842885884,0.390241949121543,0.25117896233261117,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.588334,9,0,0,,0.29772341392862756,0.3902433262446328,0.24697030672453052,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.598568,10,0,0,,0.29772478443637185,0.3902437032253124,0.24926846878619086,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.608439,11,0,0,,0.29772314700207503,0.39024229682360884,0.24033374635385696,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.618862,12,0,0,,0.29772284734865057,0.3902426369123283,0.2479632187273898,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.628670,13,0,0,,0.2977235228197428,0.39024221180252844,0.25460431913253684,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.638420,14,0,0,,0.29772479762460635,0.39024346450937886,0.26554404807746496,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.648488,15,0,0,,0.29772443401005255,0.3902421569654373,0.2701904530233761,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.658730,16,0,0,,0.29772283366172775,0.39024193043791594,0.2452770326540584,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.668540,17,0,0,,0.29772500600892626,0.39024254399341296,0.24833290841214367,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.678444,18,0,0,,0.29772373645583017,0.39024254699973127,0.24851166165221072,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.688705,19,0,0,,0.2977236626383412,0.3902421906513413,0.23727719043764386,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.698805,20,0,0,,0.2977247056185708,0.3902423306254146,0.2412007179162435,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.708683,21,0,0,,0.29772332633142173,0.39024180183544543,0.2594624134203507,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.718450,22,0,0,,0.29772186734481926,0.3902427730836051,0.26064954509114685,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.728634,23,0,0,,0.2977243092846594,0.390242864280357,0.26213083776956914,0.0,800.0,800.0,0.0,0.0
